Time (Sec);S14;S16;S21;S4;S5;S6;S10;S11;S13;S15;S2;S26;S27;S28;S31;S32;S8;
0.0;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19159.9999;19159.9999;19159.9999;19159.9999;19159.9999;19159.9999;19159.9999;19159.9999;19160.0;19160.0;19159.9999;
1.0458019128635132;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19159.976693599998;19159.9757464;19159.976077;19159.97622;19159.97622;19159.976693599998;19159.976924199997;19159.976693599998;19160.0;19160.0;19159.97622;
1.0458019128635132;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19159.976693599998;19159.9757464;19159.976077;19159.97622;19159.97622;19159.976693599998;19159.954191399996;19159.976693599998;19160.0;19160.0;19159.97622;
1.047943249021349;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19159.976693599998;19159.9757464;19159.975977;19159.97622;19159.97622;19159.976693599998;19159.954191399996;19159.976693599998;19160.0;19160.0;19159.97622;
1.047943249021349;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19159.976693599998;19159.9757464;19159.952297;19159.97622;19159.97622;19159.976693599998;19159.954191399996;19159.976693599998;19160.0;19160.0;19159.97622;
1.0914232461968465;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19159.976693599998;19159.9757464;19159.952297;19159.97622;19159.97622;19159.976693599998;19159.954191399996;19159.976693599998;19160.0;19160.0;19159.97622;
1.0915832461968467;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19159.976693599998;19159.9757464;19159.952297;19159.97622;19159.97622;19159.976693599998;19159.954048399995;19159.976693599998;19160.0;19160.0;19159.97622;
1.0959032490213492;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19159.976693599998;19159.9757464;19159.952154;19159.97622;19159.97622;19159.976693599998;19159.954048399995;19159.976693599998;19160.0;19160.0;19159.97622;
2.0915645574096504;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19159.976693599998;19159.9757464;19159.952154;19159.97622;19159.97622;19159.976693599998;19159.953948399994;19159.976693599998;19160.0;19160.0;19159.97622;
2.0915645574096504;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19159.976693599998;19159.9757464;19159.952154;19159.97622;19159.97622;19159.976693599998;19159.931215599994;19159.976693599998;19160.0;19160.0;19159.97622;
